ID,GCM,SSP,Demanda_Agro,Demanda_Poblacion,drought_severity,drought_duration,drought_start_year,drought_severity_mode,block,policy_file,pareto_idx,role,contexto,clima_run,description
2115,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2115_balanceada_3_sequia_extrema.csv,192,balanceada_3,sequia_extrema,693,DPS iter2 balanceada_3 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2116,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2116_balanceada_4_megasequia.csv,515,balanceada_4,megasequia,882,DPS iter2 balanceada_4 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2117,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2117_balanceada_4_sequia_extrema.csv,515,balanceada_4,sequia_extrema,693,DPS iter2 balanceada_4 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2118,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2118_balanceada_5_megasequia.csv,196,balanceada_5,megasequia,882,DPS iter2 balanceada_5 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2119,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2119_balanceada_5_sequia_extrema.csv,196,balanceada_5,sequia_extrema,693,DPS iter2 balanceada_5 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2120,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2120_balanceada_6_megasequia.csv,330,balanceada_6,megasequia,882,DPS iter2 balanceada_6 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2121,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2121_balanceada_6_sequia_extrema.csv,330,balanceada_6,sequia_extrema,693,DPS iter2 balanceada_6 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2122,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2122_balanceada_7_megasequia.csv,250,balanceada_7,megasequia,882,DPS iter2 balanceada_7 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2123,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2123_balanceada_7_sequia_extrema.csv,250,balanceada_7,sequia_extrema,693,DPS iter2 balanceada_7 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2124,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2124_balanceada_8_megasequia.csv,230,balanceada_8,megasequia,882,DPS iter2 balanceada_8 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
