ID,GCM,SSP,Demanda_Agro,Demanda_Poblacion,drought_severity,drought_duration,drought_start_year,drought_severity_mode,block,policy_file,pareto_idx,role,contexto,clima_run,description
2200,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2200_extremo_J1_megasequia.csv,103,extremo_J1,megasequia,882,DPS iter1 extremo_J1 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2211,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2211_balanceada_1_sequia_extrema.csv,188,balanceada_1,sequia_extrema,693,DPS iter1 balanceada_1 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2212,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2212_balanceada_2_megasequia.csv,434,balanceada_2,megasequia,882,DPS iter1 balanceada_2 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2213,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2213_balanceada_2_sequia_extrema.csv,434,balanceada_2,sequia_extrema,693,DPS iter1 balanceada_2 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2214,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2214_balanceada_3_megasequia.csv,192,balanceada_3,megasequia,882,DPS iter1 balanceada_3 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2215,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2215_balanceada_3_sequia_extrema.csv,192,balanceada_3,sequia_extrema,693,DPS iter1 balanceada_3 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2216,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2216_balanceada_4_megasequia.csv,515,balanceada_4,megasequia,882,DPS iter1 balanceada_4 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2217,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2217_balanceada_4_sequia_extrema.csv,515,balanceada_4,sequia_extrema,693,DPS iter1 balanceada_4 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2218,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2218_balanceada_5_megasequia.csv,196,balanceada_5,megasequia,882,DPS iter1 balanceada_5 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2219,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2219_balanceada_5_sequia_extrema.csv,196,balanceada_5,sequia_extrema,693,DPS iter1 balanceada_5 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2220,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2220_balanceada_6_megasequia.csv,330,balanceada_6,megasequia,882,DPS iter1 balanceada_6 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2221,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2221_balanceada_6_sequia_extrema.csv,330,balanceada_6,sequia_extrema,693,DPS iter1 balanceada_6 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2222,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2222_balanceada_7_megasequia.csv,250,balanceada_7,megasequia,882,DPS iter1 balanceada_7 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2223,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2223_balanceada_7_sequia_extrema.csv,250,balanceada_7,sequia_extrema,693,DPS iter1 balanceada_7 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2224,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2224_balanceada_8_megasequia.csv,230,balanceada_8,megasequia,882,DPS iter1 balanceada_8 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2225,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2225_balanceada_8_sequia_extrema.csv,230,balanceada_8,sequia_extrema,693,DPS iter1 balanceada_8 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2226,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2226_balanceada_9_megasequia.csv,114,balanceada_9,megasequia,882,DPS iter1 balanceada_9 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2227,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2227_balanceada_9_sequia_extrema.csv,114,balanceada_9,sequia_extrema,693,DPS iter1 balanceada_9 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2228,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2228_balanceada_10_megasequia.csv,247,balanceada_10,megasequia,882,DPS iter1 balanceada_10 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2229,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2229_balanceada_10_sequia_extrema.csv,247,balanceada_10,sequia_extrema,693,DPS iter1 balanceada_10 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2230,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2230_balanceada_11_megasequia.csv,280,balanceada_11,megasequia,882,DPS iter1 balanceada_11 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2231,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2231_balanceada_11_sequia_extrema.csv,280,balanceada_11,sequia_extrema,693,DPS iter1 balanceada_11 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2232,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2232_balanceada_12_megasequia.csv,141,balanceada_12,megasequia,882,DPS iter1 balanceada_12 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2233,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2233_balanceada_12_sequia_extrema.csv,141,balanceada_12,sequia_extrema,693,DPS iter1 balanceada_12 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2234,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2234_balanceada_13_megasequia.csv,49,balanceada_13,megasequia,882,DPS iter1 balanceada_13 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2235,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2235_balanceada_13_sequia_extrema.csv,49,balanceada_13,sequia_extrema,693,DPS iter1 balanceada_13 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2236,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2236_balanceada_14_megasequia.csv,234,balanceada_14,megasequia,882,DPS iter1 balanceada_14 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2237,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2237_balanceada_14_sequia_extrema.csv,234,balanceada_14,sequia_extrema,693,DPS iter1 balanceada_14 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2238,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2238_balanceada_15_megasequia.csv,200,balanceada_15,megasequia,882,DPS iter1 balanceada_15 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2239,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2239_balanceada_15_sequia_extrema.csv,200,balanceada_15,sequia_extrema,693,DPS iter1 balanceada_15 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2240,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2240_balanceada_16_megasequia.csv,556,balanceada_16,megasequia,882,DPS iter1 balanceada_16 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2241,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2241_balanceada_16_sequia_extrema.csv,556,balanceada_16,sequia_extrema,693,DPS iter1 balanceada_16 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2242,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2242_balanceada_17_megasequia.csv,205,balanceada_17,megasequia,882,DPS iter1 balanceada_17 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2243,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2243_balanceada_17_sequia_extrema.csv,205,balanceada_17,sequia_extrema,693,DPS iter1 balanceada_17 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2244,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2244_balanceada_18_megasequia.csv,265,balanceada_18,megasequia,882,DPS iter1 balanceada_18 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2245,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2245_balanceada_18_sequia_extrema.csv,265,balanceada_18,sequia_extrema,693,DPS iter1 balanceada_18 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2246,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2246_balanceada_19_megasequia.csv,478,balanceada_19,megasequia,882,DPS iter1 balanceada_19 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2247,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2247_balanceada_19_sequia_extrema.csv,478,balanceada_19,sequia_extrema,693,DPS iter1 balanceada_19 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2248,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2248_balanceada_20_megasequia.csv,557,balanceada_20,megasequia,882,DPS iter1 balanceada_20 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2249,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2249_balanceada_20_sequia_extrema.csv,557,balanceada_20,sequia_extrema,693,DPS iter1 balanceada_20 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
