ID,GCM,SSP,Demanda_Agro,Demanda_Poblacion,drought_severity,drought_duration,drought_start_year,drought_severity_mode,block,policy_file,pareto_idx,role,contexto,clima_run,description
2200,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2200_extremo_J1_megasequia.csv,103,extremo_J1,megasequia,882,DPS iter1 extremo_J1 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2201,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2201_extremo_J1_sequia_extrema.csv,103,extremo_J1,sequia_extrema,693,DPS iter1 extremo_J1 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2202,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2202_extremo_J2_megasequia.csv,305,extremo_J2,megasequia,882,DPS iter1 extremo_J2 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2203,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2203_extremo_J2_sequia_extrema.csv,305,extremo_J2,sequia_extrema,693,DPS iter1 extremo_J2 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2204,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2204_extremo_J3_megasequia.csv,400,extremo_J3,megasequia,882,DPS iter1 extremo_J3 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2205,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2205_extremo_J3_sequia_extrema.csv,400,extremo_J3,sequia_extrema,693,DPS iter1 extremo_J3 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2206,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2206_extremo_J4_megasequia.csv,405,extremo_J4,megasequia,882,DPS iter1 extremo_J4 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2207,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2207_extremo_J4_sequia_extrema.csv,405,extremo_J4,sequia_extrema,693,DPS iter1 extremo_J4 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2208,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2208_extremo_J5_megasequia.csv,207,extremo_J5,megasequia,882,DPS iter1 extremo_J5 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2209,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter1,policy_iter01_2209_extremo_J5_sequia_extrema.csv,207,extremo_J5,sequia_extrema,693,DPS iter1 extremo_J5 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2210,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter1,policy_iter01_2210_balanceada_1_megasequia.csv,188,balanceada_1,megasequia,882,DPS iter1 balanceada_1 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
