$Columns = Date,act_desalacion_costera,act_desalacion_completa,act_nuevo_pozo_a_5km,act_acuerdo,q_desalacion_costera,q_desalacion_completa,q_nuevo_pozo_a_5km,q_acuerdo
4/2/2027,0,1,0,0,0.0,0.30000001192092896,0.0,0.0
4/1/2028,0,1,0,0,0.0,0.30000001192092896,0.0,0.0
4/2/2028,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2029,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2029,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2030,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2030,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2031,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2031,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2032,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2032,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2033,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2033,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2034,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2034,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2035,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2035,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2036,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2036,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2037,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2037,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2038,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2038,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2039,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2039,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2040,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2040,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2041,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2041,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2042,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2042,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2043,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2043,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2044,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2044,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2045,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2045,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2046,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2046,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2047,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2047,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2048,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2048,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2049,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2049,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2050,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2050,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2051,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2051,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2052,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2052,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2053,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2053,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2054,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2054,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2055,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2055,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2056,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2056,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2057,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2057,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2058,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2058,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2059,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/2/2059,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
4/1/2060,0,1,1,0,0.0,0.30000001192092896,0.11999999731779099,0.0
