iteracion,objetivo,metrica,n_runs,mediana,p90,max,pct_dentro_tol
iter01,J1_gw_storage,relativo,49,0.0287928754158645,0.0430997328551136,0.0479298647066226,100.0
iter01,J2_unmet_ap,p.p. dem,49,0.0224902865710787,0.0282143397412465,0.0325703468792274,100.0
iter01,J3_agri_value,relativo,49,0.01184091730034,0.0410931752148746,0.0466736405322517,100.0
iter01,J4_supply_cost,relativo,49,0.1520470459630228,0.2034171251763343,0.2389512943589209,6.122448979591836
iter01,J51_mean_town_fail,p.p. horiz,49,0.0284090909090909,0.0712412587412587,0.1306818181818181,77.55102040816327
iter01,J52_worst_year_frac,p.p.,49,0.04447547117666,0.0829309461507877,0.1374465321690627,59.18367346938776
iter01,J6_coastal_salinity,relativo,49,0.0066561274884308,0.0080329183560451,0.0082995956719286,100.0
iter02,J1_gw_storage,relativo,49,0.0167083478365167,0.0277598904405853,0.035169405654808,100.0
iter02,J2_unmet_ap,p.p. dem,49,0.0132694367101219,0.0211430903546461,0.0375245488475544,100.0
iter02,J3_agri_value,relativo,49,0.0281660886882431,0.0543669196305225,0.0576849874061262,85.71428571428571
iter02,J4_supply_cost,relativo,49,0.0885315330413276,0.1182487898558492,0.1463252063291645,18.367346938775512
iter02,J51_mean_town_fail,p.p. horiz,49,0.0217074592074592,0.0414918414918414,0.1166229603729603,91.83673469387756
iter02,J52_worst_year_frac,p.p.,49,0.0269309523326155,0.0513737553283057,0.092242366072538,85.71428571428571
iter02,J6_coastal_salinity,relativo,49,0.0022832024494004,0.0027808887883708,0.0034815884385426,100.0
