run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
2200,4,0.7893997073458899,35068256.0,0.11135256290435791,44176759464.21848,49803830222.09254,,,0.8638678248667773,34686472.288721815,439618.8024902268,42779113102.35875,44680716396.737465,,,0.8655603485234822
2201,4,0.8106202560125241,33777952.0,0.11163879185914993,48396350442.97069,49151397351.89465,,,0.8639580791276282,32888089.237065945,538132.2292945887,45604607577.16545,43804388850.83722,,,0.8658813643542645
2202,2,0.7898239490006904,35130272.0,0.05541127547621727,54334236832.93684,52005740443.06518,,,0.8637837997312775,34875882.382845365,716842.906723434,54605226209.77111,45191297689.88955,,,0.8667911394218224
2203,2,0.8280189115755431,34043180.0,0.03929251432418823,59719219426.34735,52102450779.202896,,,0.863701425463818,33283546.653252926,881869.5960207699,58460869105.588486,44814429303.03091,,,0.8664160556504948
2204,2,0.8315406923920499,35560828.0,4130624.0,54557773299.57844,52489040461.31649,,,0.8637835811809134,34966665.31642146,4047024.5906687924,54493090867.947624,47912218473.579926,,,0.8660945284432294
2205,2,0.8748918899358821,34230440.0,14521040.0,60197975416.424225,54103113922.04781,,,0.8637066213956802,33233411.26384761,14609482.83180014,58502433901.99254,48570924647.942245,,,0.8656424497184934
2206,3,0.8015777231357595,35504296.0,0.2032451033592224,45197970668.172386,49991752871.439,,,0.8637764058839282,34868766.03615219,481337.04568831495,43913941935.25466,44766362141.93056,,,0.8657928433885343
2207,3,0.8096091220204725,34252788.0,0.2080838680267334,49488514048.92872,50131535383.87149,,,0.8639037367810365,33269784.167293236,1330974.3399512726,46776872594.04153,44966176448.19062,,,0.8658762039089012
2208,3,0.7935819893209864,35068528.0,0.21525509655475616,45083654333.33543,48968940544.68919,,,0.8637764058839282,34686512.04497635,445711.84078832355,43566254649.51877,43666795755.09059,,,0.8657410631806659
2209,4,0.8113394321776606,33775000.0,26257.14453125,49316825121.16249,49608539813.234566,,,0.8639037367810365,32909740.5911634,543497.3079444526,46548375474.4437,44060430555.25849,,,0.8658302257119199
2210,2,0.804073800422149,35124956.0,1186150.625,54311585535.52928,54302675590.108826,,,0.8637944465935833,34809284.552546,2240218.2716197693,54386572423.41941,47374310522.574234,,,0.8656793404867983
2211,2,0.833930593962742,33809020.0,3722348.0,59616483439.65765,55605888600.13195,,,0.863766110999323,33078979.813197717,4787913.790147988,58140303850.438705,47048049958.25765,,,0.8653361303786095
2212,4,0.7810340846870445,35088344.0,7203.4091796875,45296855457.718575,50517850643.165695,,,0.8637764058839282,34649711.44272725,473667.9666858965,43905420456.73267,45110742178.11134,,,0.8657410631806659
