objetivo,metrica,n_runs,mediana,p90,max,pct_dentro_tol
J1_gw_storage,relativo,123,0.005627696336706244,0.02320386773287242,0.0991708321440838,95.9349593495935
J2_unmet_ap,pp_demanda,123,0.012831584462939704,0.03677348603494251,0.10598328561759868,95.1219512195122
J3_agri_value,relativo,123,0.025799618288791074,0.050385293575064743,0.07870190329849333,89.43089430894308
J4_supply_cost,relativo,123,0.050713998527191495,0.13012204075636208,0.294708264978216,46.34146341463415
J6_coastal_salinity,relativo,123,0.00449988689367382,0.010307742849338193,0.021357232436084415,100.0
