objetivo,metrica,n_runs,mediana,p90,max,pct_dentro_tol
J1_gw_storage,relativo,49,0.02879287541586455,0.04309973285511361,0.047929864706622624,100.0
J2_unmet_ap,p.p. dem,49,0.022490286571078714,0.02821433974124657,0.032570346879227406,100.0
J3_agri_value,relativo,49,0.01184091730034007,0.041093175214874676,0.046673640532251794,100.0
J4_supply_cost,relativo,49,0.15204704596302282,0.2034171251763343,0.23895129435892098,6.122448979591836
J51_mean_town_fail,p.p. horiz,49,0.028409090909090908,0.07124125874125879,0.13068181818181818,77.55102040816327
J52_worst_year_frac,p.p.,49,0.044475471176660064,0.08293094615078778,0.13744653216906277,59.183673469387756
J6_coastal_salinity,relativo,49,0.006656127488430896,0.008032918356045183,0.008299595671928683,100.0
