tarifa,pago_med,neto_med,neto_MUSD,razon_med,razon_p25,pct_positivo,tarifa_agricultor,costo_transaccion,tarifa_total,posicion_merito,orden
2500,7539422500.0,3181291315.645653,3.2462156282098498,2.403593325416524,2.154925416840179,93.6842105263158,2500,0,2500,4,Aduccion < PozoCostero < Desal < Acuerdo < Camiones
1000,3015769000.0,-140772298.78342438,-0.14364520284022894,0.9614373301666096,0.8619701667360715,42.10526315789473,1000,300,1300,2,Aduccion < Acuerdo < PozoCostero < Desal < Camiones
1200,3618922800.0,371376825.53022003,0.3789559444185919,1.1537247961999315,1.0343642000832858,77.89473684210526,1200,300,1500,3,Aduccion < PozoCostero < Acuerdo < Desal < Camiones
1500,4523653500.0,1237526329.9410934,1.2627819693276463,1.4421559952499143,1.2929552501041073,89.47368421052632,1500,300,1800,3,Aduccion < PozoCostero < Acuerdo < Desal < Camiones
1700,5126807300.0,1672776779.9410934,1.7069150815725442,1.6344434612832364,1.4653492834513215,90.52631578947368,1700,300,2000,3,Aduccion < PozoCostero < Acuerdo < Desal < Camiones
2000,6031538000.0,2233940989.2777786,2.279531621712019,1.9228746603332192,1.723940333472143,91.57894736842105,2000,300,2300,4,Aduccion < PozoCostero < Desal < Acuerdo < Camiones
