WellName,TOP,WellDepth_m,z_bot
DemAGRO_Sc_Q04_fict__p_80_154_id164,137.77,9.0,128.77000427246094
DemAGRO_Sc_Q04_fict__p_86_117_id70,78.18,3.0,75.18000030517578
DemAGRO_Sc_Q04_fict__p_95_123_id73,88.88,5.0,83.87999725341797
DemAGRO_Sc_Q05_fict__p_19_100_id205,59.96,5.0,54.959999084472656
DemAGRO_Sc_Q06_fict__p_59_28_id3,39.93,2.93,37.00000030517578
DemAGRO_Sc_Q06_fict__p_60_23_id41,39.93,5.0,34.93000030517578
DemAGRO_Sc_Q06_fict__p_60_28_id4,39.93,2.93,37.00000030517578
DemAGRO_Sc_Q06_fict__p_61_37_id14,39.93,5.0,34.93000030517578
DemAGRO_Sc_Q06_fict__p_63_43_id24,39.93,7.0,32.93000030517578
DemAGRO_SHAC_Q01_fict__p_16_321_id282,443.65,8.0,435.6499938964844
DemAGRO_SHAC_Q01_fict__p_16_321_id301,443.65,8.0,435.6499938964844
DemAGRO_SHAC_Q01_fict__p_16_321_id302,443.65,8.0,435.6499938964844
DemAGRO_SHAC_Q01_fict__p_16_321_id317,443.65,8.0,435.6499938964844
DemAGRO_SHAC_Q01_fict__p_16_323_id318,449.21,8.0,441.2099914550781
DemAGRO_SHAC_Q01_fict__p_16_323_id377,449.21,8.0,441.2099914550781
DemAGRO_SHAC_Q01_fict__p_17_286_id334,376.47,5.2,371.27000122070314
DemAGRO_SHAC_Q01_fict__p_17_316_id384,435.45,8.0,427.45001220703125
DemAGRO_SHAC_Q01_fict__p_17_337_id331,495.5,4.0,491.5
DemAGRO_SHAC_Q01_fict__p_18_299_id350,438.51,8.0,430.510009765625
DemAGRO_SHAC_Q01_fict__p_18_301_id351,428.54,8.0,420.5400085449219
DemAGRO_SHAC_Q01_fict__p_18_312_id322,425.37,8.0,417.3699951171875
DemAGRO_SHAC_Q01_fict__p_18_312_id323,425.37,8.0,417.3699951171875
DemAGRO_SHAC_Q01_fict__p_18_313_id380,428.11,8.0,420.1099853515625
DemAGRO_SHAC_Q01_fict__p_18_327_id278,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id279,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id305,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id306,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id307,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id308,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id320,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_327_id379,461.05,8.0,453.04998779296875
DemAGRO_SHAC_Q01_fict__p_18_338_id321,497.31,8.0,489.30999755859375
